"income","education","environment"
12795.14,14.07,49.89
24955.34,15.23,58.55
35882.27,19.55,35.62
7665.12,21.46,43.73
26718.36,16.64,46.18
27659.52,18.62,55.85
17006.77,15.73,57.98
17223.25,20.52,55.59
17085.69,15.8,43.77
14757.15,13.44,52.91
17769.94,20.64,65.54
14054.9,19.92,54.97
15532.44,25.6,44.25
22674.73,16.34,72.03
33920.42,17.68,41.18
20960.01,7.25,54.06
17501.57,21.23,38.15
14617.31,13.68,21.32
15112.43,11.61,46.22
65324.72,10.89,41.04
23396.45,17.69,50.27
17662.36,30.23,46.99
18065.39,13.28,47.98
27087.16,17.16,38.32
16120.16,13.86,72.93
11479.38,11.35,61.83
28527.96,20.02,55.14
13895.98,15.26,46.09
21876.93,15.56,54.17
40475.11,20.88,60.53
36171.76,20.84,48.29
17782.73,9.83,70.64
16006.53,11.87,47.64
17578.54,-4.21,55.72
10581.98,13.5,47.77
13024.29,13.42,58.51
8258.37,10.29,65.53
12046.78,11.71,44.36
19294.35,13.1,50.12
17860.49,14.54,45.74
42288.62,23.82,43.8
13617.5,27.79,56.2
14989.21,14.47,51.13
19413.42,15.94,34.55
14080.51,13.91,58.68
14245.1,14.94,62.4
13382.55,12.96,44.84
12539.09,22.33,41.34
17400.9,-0.53,68.3
17613.44,11.64,58.67
9772.09,10.6,51.98
16950.72,15.66,40.26
13373.09,13.72,59.23
13950.45,10.78,33.5
20475.02,-5.68,41.03
28378.16,18.31,39.52
46236.18,25.19,42.25
15552.72,16.49,40.93
45372.4,24.36,45.76
13081.92,12.62,48.52
29598.08,18.7,75.71
69358.64,31.33,45.31
21684.6,15.39,46.1
16295.84,15.13,30.42
21951.22,17.32,54.63
49005.51,24.24,38.17
13195.44,11.45,45.39
40762.68,24.56,32.79
40066.83,19.92,62.49
89695.49,40.54,46.44
22094.89,30.53,48.73
17944.5,15.6,32.37
18677.3,15.85,47.12
29487.71,18.66,50.82
55916.9,36.7,48.39
20557.29,16.22,46.51
11780.31,12.64,74.24
15904.99,13.22,65.58
86593.56,38.07,44.55
19097.7,15.76,40.06
20332.88,12.41,56.11
20404.34,14.52,59.72
33259.1,19.21,48.74
20369.54,17.46,38.15
32292.96,19.66,46.85
105523.28,62.33,54.13
28211.89,0.17,41.53
18375.45,14.98,42.47
20206.97,15.69,45.91
12867.53,11.11,64.72
21505.81,15.4,53.46
24706.91,16.83,60.9
47461.96,24.27,48.87
34567.91,26.13,43.77
17623.48,13.85,54.43
25848.24,35.07,31.33
13219.21,10.93,37.04
32702,19.07,42.84
95552.58,41.95,26.65
57211.07,27.98,38.55
26543.38,15.32,64.28
17789.73,5.35,28.72
22690.4,-0.27,59.91
17568.89,16.08,50.15
15188.6,13.62,49.97
23745.43,16.64,27.1
14715.86,13.33,43.68
23758.21,17.48,65.03
25841.47,18.26,40.42
21516.01,4.03,47.5
20167.54,14,45.76
16447.33,15.5,64.48
13367.81,12.24,45.86
32279.04,20.74,53.14
77872.34,36.29,51.51
32016.71,19.79,53.98
12582.6,32.25,53.18
23767.2,16.34,45.44
29819.71,16.24,50.6
21767.55,17.46,44.69
20208.8,17.04,46.65
54225.41,25,42.39
55613.03,27.5,68.2
86452.04,42.58,59.4
50055.8,26.25,56.22
22834.48,17.8,41.25
16578.56,3.99,43.29
11148.06,13.1,60.46
16543.61,31.27,58.13
24387.74,18.51,40.86
34757.85,18.7,68.73
24679.73,15.99,50.7
12998.94,1.01,52.57
29760.03,16.12,44.36
10482.42,11.61,67.4
18682.95,14.5,42.22
19105.79,14.71,59.36
9166.3,9.59,62.38
33323.76,19.8,50.86
16642.38,31.6,39.2
18952.36,14.93,34.71
41266.92,22.34,53.08
29334.03,32.84,34.93
20977.5,15.77,46.45
27755.61,17.92,57.48
26361.83,20.6,43.75
46550.15,22.86,58.92
24938.1,15.66,48.64
27662.21,16.69,49.96
25755.37,15.47,63.27
18587.47,12.97,49.58
23015.63,12.99,61.96
46047.79,26.74,49.45
14853.39,12.72,54.13
65147.64,33.46,51.38
40658.32,19.53,53.15
19819.48,15.06,53.74
13711.33,11.78,55.02
14892.27,8.25,57.01
18479.97,9.22,60.43
42121.43,13.2,39.14
19588.78,13.79,24.95
18279.05,10.64,35.72
20284.8,15.58,44.67
26454.33,17.77,37.16
29175.51,19,42.74
46872.79,25.58,61.82
21356,2.92,64.84
66728.34,33.01,54.53
42699.93,23.3,53.81
47427.06,15.05,59.17
22459.29,6.09,38.91
18964.12,14.97,63.38
27163.07,23.73,43.62
41567.26,41.92,52.76
15109.64,14.56,51.75
13283.88,10.9,47.65
86655.4,38.36,52.71
24483.62,15.66,60.36
21699.26,15.17,44.57
6441.4,8.35,58.05
21059.23,14.71,56.96
34173.79,20.55,49.35
26535.56,15.03,26.61
33207.96,38.46,47.78
53781.21,25.56,52.76
130465.2,53.72,42.97
49054.53,24.41,47.09
30238.8,19.69,53.88
20145.03,-3.63,47.2
17289.73,15.41,58.31
6093.08,9.45,57.63
15439.11,13.61,60.49
27433.4,17.42,47.13
58431.75,26.21,43.69
27592.87,16.63,62.22
29117.5,18.73,55.44
14261.85,12.62,55.96
23699.15,17.33,53.52
8645.49,12.85,49.4
